"CHIPINGE EASTConstituency, the results are as follows:",Mwarera Joseph Taurayi,M,NCA,137
"CHIPINGE EASTConstituency, the results are as follows:",RESULTS OF POLL,,,
,"In respect of CHIPINGE SOUTH Constituency, the results are as follows:",,,
,,,,Votes
Constituency,Name of Candidate,Sex,Party,Received
"In respect of CHIPINGE SOUTH Constituency, the results are as follows:",,,,
"In respect of CHIPINGE SOUTH Constituency, the results are as follows:",CHIORORO,,,723
"In respect of CHIPINGE SOUTH Constituency, the results are as follows:",KUDAKWASHE FREEMAN,M,INDEPENDENT,
"In respect of CHIPINGE SOUTH Constituency, the results are as follows:",,,,
"In respect of CHIPINGE SOUTH Constituency, the results are as follows:",,,,
"In respect of CHIPINGE SOUTH Constituency, the results are as follows:",HLATYWAYO CLIFFORD,M,MDC-ALLIANCE,7 870
"In respect of CHIPINGE SOUTH Constituency, the results are as follows:",,,,
"In respect of CHIPINGE SOUTH Constituency, the results are as follows:",KUMBULA,M,ZIPP,253
"In respect of CHIPINGE SOUTH Constituency, the results are as follows:",KUDAKWASHE,,,
"In respect of CHIPINGE SOUTH Constituency, the results are as follows:",,,,
"In respect of CHIPINGE SOUTH Constituency, the results are as follows:",,,,
"In respect of CHIPINGE SOUTH Constituency, the results are as follows:",MOYANA JERRY,,,
"In respect of CHIPINGE SOUTH Constituency, the results are as follows:",MATINAKA,M,INDEPENDENT,2 366
"In respect of CHIPINGE SOUTH Constituency, the results are as follows:",,,,
"In respect of CHIPINGE SOUTH Constituency, the results are as follows:",,,,
"In respect of CHIPINGE SOUTH Constituency, the results are as follows:",MUHAMBA VHULA,M,CODE,107
"In respect of CHIPINGE SOUTH Constituency, the results are as follows:",,,,
"In respect of CHIPINGE SOUTH Constituency, the results are as follows:",,,,
"In respect of CHIPINGE SOUTH Constituency, the results are as follows:",MUPAKATI TAKAWIRA,M,NCA,238
"In respect of CHIPINGE SOUTH Constituency, the results are as follows:",,,,
"In respect of CHIPINGE SOUTH Constituency, the results are as follows:",,,,
"In respect of CHIPINGE SOUTH Constituency, the results are as follows:",PORUSINGAZI ENOCK,M,ZANU PF,9 382
"In respect of CHIPINGE SOUTH Constituency, the results are as follows:",,,,
,In respect of,"CHIPINGE WEST  Constituency, the results are as follows:",,
Constituency,Name of Candidate,Sex,Party,Votes Received
"CHIPINGE WEST  Constituency, the results are as follows:",Nyamudeza Sibonile,M,MDC Alliance,8754
"CHIPINGE WEST  Constituency, the results are as follows:",Chimwamurombe Adam,M,Zanu PF,6475
"CHIPINGE WEST  Constituency, the results are as follows:",Mhlanga Robert Peter,M,NCA,410
"CHIPINGE WEST  Constituency, the results are as follows:",Saungweme Lovemore,M,NPF,121
"CHIPINGE WEST  Constituency, the results are as follows:",Chateya Daisy,F,PRC,272
"CHIPINGE WEST  Constituency, the results are as follows:",RESULTS OF POLL,,,
,"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,
,follows:,,,
,,,,Votes
Constituency,Name of Candidate,Sex,Party,Received
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",CHIPANGA HOSIA,M,INDEPENDENT,1 385
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",CHOTO NGONI,M,ZIPP,520
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",JERIMANI ALEC,M,CP,282
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",KADZERE CHENGETAI,,,327
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",RICHARD,M,INDEPENDENT,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",MACHIKWA EMMANUEL,M,APA,170
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",MAERESERA TAZIVEYI,M,PRC,266
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",RAJAB,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",MUDEHWE TENDAYI,F,MDC-T,2 818
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",LYNNET,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",MUPFUMI ISAU FUNGAI,M,ZANU PF,9 856
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",MUTSEYAMI CHAPFIWA,M,MDC-ALLIANCE,32 381
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",PROSPER,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",YAMANDE HATIZIVI,M,INDEPENDENT,899
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",OACHEM,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",YAZENGA MISHECK,M,INDEPENDENT,42
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",USIKE JUDITH,F,ZDU,102
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",ETENA TARISAI,M,# 1980 CHINHU CHEDU,22
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",SIKIWA NORMAN,M,INDEPENDENT,142
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",IDUCHE MERCY,F,NCA,172
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",,,,
"In respect of DANGAMVURA/CHIKANGA Constituency, the results are as",RESULTS OF POLL,,,
,"In respect of HEADLANDS Constituency, the results are as follows:",,,
,,,,Votes
Constituency,Name of Candidate,Sex,Party,Received
"In respect of HEADLANDS Constituency, the results are as follows:",,,,
"In respect of HEADLANDS Constituency, the results are as follows:",CHINGOSHO,M,ZANU PF,13 798
"In respect of HEADLANDS Constituency, the results are as follows:",CHRISTOPHER PETER,,,
"In respect of HEADLANDS Constituency, the results are as follows:",,,,
"In respect of HEADLANDS Constituency, the results are as follows:",,,,
"In respect of HEADLANDS Constituency, the results are as follows:",CHIRIPAMBERI TAURAI,M,INDEPENDENT,1536
"In respect of HEADLANDS Constituency, the results are as follows:",WILLIAM,,,
"In respect of HEADLANDS Constituency, the results are as follows:",,,,
"In respect of HEADLANDS Constituency, the results are as follows:",,,,
"In respect of HEADLANDS Constituency, the results are as follows:",CHIRO CLIFORD,M,BZA,168
"In respect of HEADLANDS Constituency, the results are as follows:",,,,
"In respect of HEADLANDS Constituency, the results are as follows:",,,,
"In respect of HEADLANDS Constituency, the results are as follows:",CHITAURO KINGSTON,M,MDC-T,2 190
"In respect of HEADLANDS Constituency, the results are as follows:",,,,
"In respect of HEADLANDS Constituency, the results are as follows:",,,,
"In respect of HEADLANDS Constituency, the results are as follows:",CHIUNYA VENGAI,M,# 1980 CHINHU CHEDU,63
"In respect of HEADLANDS Constituency, the results are as follows:",GODFREY,,,
"In respect of HEADLANDS Constituency, the results are as follows:",,,,
"In respect of HEADLANDS Constituency, the results are as follows:",,,,
"In respect of HEADLANDS Constituency, the results are as follows:",GONESO CANAAN,M,ZIPP,79
"In respect of HEADLANDS Constituency, the results are as follows:",,,,
"In respect of HEADLANDS Constituency, the results are as follows:",,,,
"In respect of HEADLANDS Constituency, the results are as follows:",JINDU PHILLIP,M,INDEPENDENT,299
"In respect of HEADLANDS Constituency, the results are as follows:",,,,
"In respect of HEADLANDS Constituency, the results are as follows:",,,,
"In respect of HEADLANDS Constituency, the results are as follows:",JULIUS LASTONE,M,CODE,94
"In respect of HEADLANDS Constituency, the results are as follows:",,,,
"In respect of HEADLANDS Constituency, the results are as follows:",,,,
"In respect of HEADLANDS Constituency, the results are as follows:",KAUNYE JAMES,M,PRC,165
"In respect of HEADLANDS Constituency, the results are as follows:",,,,
"In respect of HEADLANDS Constituency, the results are as follows:",,,,
"In respect of HEADLANDS Constituency, the results are as follows:",MUKARATIRWA ALBERT,M,MDC-ALLIANCE,4 880
"In respect of HEADLANDS Constituency, the results are as follows:",,,,
"In respect of HEADLANDS Constituency, the results are as follows:",,,,
"In respect of HEADLANDS Constituency, the results are as follows:",,,,
"In respect of HEADLANDS Constituency, the results are as follows:",MUTOWA CHRISWELL,M,NCA,28
"In respect of HEADLANDS Constituency, the results are as follows:",,,,
"In respect of HEADLANDS Constituency, the results are as follows:",,,,
"In respect of HEADLANDS Constituency, the results are as follows:",SIBANDA LAWRENCE,M,INDEPENDENT,63
"In respect of HEADLANDS Constituency, the results are as follows:",,,,
"In respect of HEADLANDS Constituency, the results are as follows:",,,,
"In respect of HEADLANDS Constituency, the results are as follows:",TANDI KEDDY CLIFF,M,MAAT ZIMBABWE,69
"In respect of HEADLANDS Constituency, the results are as follows:",RESULTS OF POLL,,,
,"In respect of MAKONI CENTRAL Constituency, the results are as follows:",,,
,,,,Votes
Constituency,Name of Candidate,Sex,Party,Received
"In respect of MAKONI CENTRAL Constituency, the results are as follows:",,,,
"In respect of MAKONI CENTRAL Constituency, the results are as follows:",Tekeshe David,M,MDC-ALLIANCE,12 531
"In respect of MAKONI CENTRAL Constituency, the results are as follows:",,,,
"In respect of MAKONI CENTRAL Constituency, the results are as follows:",,,,
"In respect of MAKONI CENTRAL Constituency, the results are as follows:",Chinamasa Patrick Anthony,M,ZANU PF,9 256
"In respect of MAKONI CENTRAL Constituency, the results are as follows:",,,,
"In respect of MAKONI CENTRAL Constituency, the results are as follows:",,,,
"In respect of MAKONI CENTRAL Constituency, the results are as follows:",Chasara Nesbert Pfunya,M,UDA,304
"In respect of MAKONI CENTRAL Constituency, the results are as follows:",,,,
"In respect of MAKONI CENTRAL Constituency, the results are as follows:",,,,
"In respect of MAKONI CENTRAL Constituency, the results are as follows:",Matope Juliet,F,NCA,191
"In respect of MAKONI CENTRAL Constituency, the results are as follows:",,,,
"In respect of MAKONI CENTRAL Constituency, the results are as follows:",,,,
"In respect of MAKONI CENTRAL Constituency, the results are as follows:",Mukaka Shepherd,M,# 1980 CHINHU,59
"In respect of MAKONI CENTRAL Constituency, the results are as follows:",,,CHEDU,
"In respect of MAKONI CENTRAL Constituency, the results are as follows:",RESULTS OF POLL,,,
,"In respect of MAKONI NORTH Constituency, the results are as follows:",,,
,,,,Votes
Constituency,Name of Candidate,Sex,Party,Received
"In respect of MAKONI NORTH Constituency, the results are as follows:",,,,
"In respect of MAKONI NORTH Constituency, the results are as follows:",Chigume Paul,M,Independent,435
"In respect of MAKONI NORTH Constituency, the results are as follows:",,,,
"In respect of MAKONI NORTH Constituency, the results are as follows:",Chiro Joseph,M,BZA,186
"In respect of MAKONI NORTH Constituency, the results are as follows:",,,,
"In respect of MAKONI NORTH Constituency, the results are as follows:",Kwangwa Virginia,F,NCA,94
"In respect of MAKONI NORTH Constituency, the results are as follows:",,,,
"In respect of MAKONI NORTH Constituency, the results are as follows:",Mabvepi Muwanga,M,CODE,224
"In respect of MAKONI NORTH Constituency, the results are as follows:",,,,
"In respect of MAKONI NORTH Constituency, the results are as follows:",Manyengawana Moses,M,MDC-Alliance,4941
"In respect of MAKONI NORTH Constituency, the results are as follows:",,,,
"In respect of MAKONI NORTH Constituency, the results are as follows:",Munetsi James,M,ZANU PF,12 189
"In respect of MAKONI NORTH Constituency, the results are as follows:",,,,
"In respect of MAKONI NORTH Constituency, the results are as follows:",Mupfapairi Brighton,M,Independent,468
"In respect of MAKONI NORTH Constituency, the results are as follows:",,,,
"In respect of MAKONI NORTH Constituency, the results are as follows:",Nyawaranda Clever,M,ZIPP,77
"In respect of MAKONI NORTH Constituency, the results are as follows:",RESULTS OF POLL,,,
,"In respect of MAKONI SOUTH Constituency, the results are as follows:",,,
Constituency,Name of Candidate,Sex,Party,Votes Received
"In respect of MAKONI SOUTH Constituency, the results are as follows:",,,,
"In respect of MAKONI SOUTH Constituency, the results are as follows:",Chiwukira Munodaani,M,PPPZ,365
"In respect of MAKONI SOUTH Constituency, the results are as follows:",Gilbert,,,
"In respect of MAKONI SOUTH Constituency, the results are as follows:",,,,
"In respect of MAKONI SOUTH Constituency, the results are as follows:",Kutiya John,M,MDC-ALLIANCE,9 037
"In respect of MAKONI SOUTH Constituency, the results are as follows:",,,,
"In respect of MAKONI SOUTH Constituency, the results are as follows:",Mataranyika Dudzai,M,ZANU PF,11 622
"In respect of MAKONI SOUTH Constituency, the results are as follows:",Misheck,,,
"In respect of MAKONI SOUTH Constituency, the results are as follows:",,,,
"In respect of MAKONI SOUTH Constituency, the results are as follows:",Mukunda David,M,NCA,81
"In respect of MAKONI SOUTH Constituency, the results are as follows:",,,,
"In respect of MAKONI SOUTH Constituency, the results are as follows:",Mupimbira Misheck,M,FREEZIM,108
"In respect of MAKONI SOUTH Constituency, the results are as follows:",,,CONGRESS PARTY,
"In respect of MAKONI SOUTH Constituency, the results are as follows:",Murerawanhu Obert,M,ZIPP,130
"In respect of MAKONI SOUTH Constituency, the results are as follows:",,,,
"In respect of MAKONI SOUTH Constituency, the results are as follows:",,,,
"In respect of MAKONI SOUTH Constituency, the results are as follows:",Mvundura Itayi,M,PRC,131
"In respect of MAKONI SOUTH Constituency, the results are as follows:",Washington,,,
"In respect of MAKONI SOUTH Constituency, the results are as follows:",,,,
"In respect of MAKONI SOUTH Constituency, the results are as follows:",Samunumba Anderson,M,# 1980 Chinhu Chedu,67
"In respect of MAKONI SOUTH Constituency, the results are as follows:",RESULTS OF POLL,,,
,"In respect of MAKONI WEST Constituency, the results are as follows:",,,
,,,,Votes
Constituency,Name of Candidate,Sex,Party,Received
"In respect of MAKONI WEST Constituency, the results are as follows:",,,,
"In respect of MAKONI WEST Constituency, the results are as follows:",Chinyadza Webber,M,MDC-T,2 507
"In respect of MAKONI WEST Constituency, the results are as follows:",,,,
"In respect of MAKONI WEST Constituency, the results are as follows:",,,,
"In respect of MAKONI WEST Constituency, the results are as follows:",Danha Francis,M,# 1980 Freedom Movement,292
"In respect of MAKONI WEST Constituency, the results are as follows:",,,Zimbabwe,
"In respect of MAKONI WEST Constituency, the results are as follows:",,,,
"In respect of MAKONI WEST Constituency, the results are as follows:",Govha Godfrey,M,MDC-Alliance,4 530
"In respect of MAKONI WEST Constituency, the results are as follows:",Makwasha,,,
"In respect of MAKONI WEST Constituency, the results are as follows:",,,,
"In respect of MAKONI WEST Constituency, the results are as follows:",,,,
