Province,District,Local Authority,Constituency,Ward No.,Polling Station Facility,, Dabengwa Dumiso (ZAPU),Mugabe Robert Gabriel (ZANU PF),Mukwazhe Munodei Kisinoti (ZDP),Ncube Welshman (MDC), Tsvangirayi Morgan (MDC-T), Total Votes Rejected, Ballot Papers Unaccounted for,  Total Votes Cast, Total Valid Votes Cast
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,12,Samanyanga Primary Primary School,,0,442,1,1,5,1,0,450,449
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,12,Trinity rock Farm Tent,,2,340,1,0,12,7,0,362,355
,,,,,,,,,,,,,,,
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,13,Jee-Jay Primary Primary School,,1,167,0,1,5,2,0,176,174
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,13,Kilkeran Farm Tent,,1,141,0,0,3,2,0,147,145
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,13,Maware Primary Primary School,,5,428,0,2,8,6,0,449,443
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,13,Silverstroom Primary Primary School,,2,272,0,1,8,3,0,286,283
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,14,Ashford Primary,Primary School,7,563,0,1,9,9,0,589,580
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,14,Chipiri Farm,Shed,5,319,1,3,12,7,0,347,340
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,14,Clearmorning Primary,Primary School,4,638,2,0,20,18,0,682,664
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,14,Goromokwa Primary,Primary School,2,397,0,0,4,4,0,407,403
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,14,Mwonga Farm,Shed,6,199,0,0,3,4,0,212,208
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,14,Tekwane Farm,Tent,0,154,0,0,9,1,0,164,163
,,,,,,,,,,,,,,,
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,15,Gato Primary,Primary School,5,1034,2,9,195,23,0,1268,1245
,,,,,,,,,,,,,,,
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,16,Mukwengure Primary,Primary School,2,697,1,3,11,8,0,722,714
,,,,,,,,,,,,,,,
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,17,Charunda Primary,Primary School,2,407,0,1,11,4,0,425,421
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,17,Hoya Primary,Secondary  School,2,692,0,0,19,5,0,718,713
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,17,Kambudzi Primary,Primary School,2,487,0,1,4,2,0,496,494
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,17,Mangurenje Primary,Primary School,2,390,0,0,2,1,0,395,394
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,17,Muchembere Primary,Primary School,0,206,0,2,9,2,0,219,217
,,,,,,,,,,,,,,,
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,18,Mufuka Village,Tent,1,39,0,0,0,0,0,40,40
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,18,Murimo BC,Tent,0,339,1,1,1,4,0,346,342
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,18,Mutemakungu Primary,Primary School,2,483,0,0,7,4,0,496,492
,,,,,,,,,,,,,,,
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,20,Chawarura Primary,Primary School,8,847,2,11,61,10,0,939,929
,,,,,,,,,,,,,,,
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,21,Chawarura PFDC,Clinic,2,281,0,0,10,6,0,299,293
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,21,Chitemamuswe Primary,Primary School,4,443,0,1,8,5,0,461,456
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,21,Mavhuradonha Farm,Tent,0,137,0,0,3,0,0,140,140
,,,,,,,,,,,,,,,
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,22,Chaona Resettlement,Tent,5,403,0,3,32,8,0,451,443
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,22,Nyamaridza Secondary,Secondary School,2,291,1,0,34,9,0,337,328
,,,,,,,,,,,,,,,
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,25,The Range,Tent,3,414,0,0,7,8,0,432,424
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,25,Westburry  Farm,Tent,8,520,0,0,6,14,0,548,534
,,,,,,,,,,,,,,,
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,26,Dunbarton Farm,Tent,4,656,1,2,11,14,0,688,674
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,26,Takunda Primary,Primary School,2,794,1,1,7,11,0,816,805
,,,,,,,,,,,,,,,
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,28,Aranbira Primary,Primary School,3,417,0,0,10,3,0,433,430
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,28,Chidikamwedzi Primary,Primary School,3,604,0,3,15,13,0,638,625
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,28,Chiparta Primary,Primary School,1,180,0,1,3,5,0,190,185
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,28,Mutorazeni Farm,Shed,0,432,0,1,3,3,0,439,436
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,28,Sulugulu Farm,Shed,0,301,0,0,12,3,0,316,313
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,29,Aurellia Farm Shed,,2,244,0,0,2,0,0,248,248
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,29,Minda Primary Primary School,,4,578,0,0,3,13,0,598,585
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,29,Ruindi Primary Primary School,,2,175,0,0,0,1,1,178,177
,,,,,,,,,,,,,,,
Mash Central,,,,,Muzarabani South Constituency Totals,,137,20958,22,71,812,326,1,22326,22000
Mash Central,Rushinga,Rushinga RDC,Rushinga,1,Chabooka Village Tent,,0,286,0,1,4,4,0,295,291
Mash Central,Rushinga,Rushinga RDC,Rushinga,1,Mukosa Primary Primary School,,2,460,1,2,9,15,0,489,474
Mash Central,Rushinga,Rushinga RDC,Rushinga,1,Nyabawa Primary Primary School,,1,272,0,0,4,8,0,285,277
,,,,,,,,,,,,,,,
Mash Central,Rushinga,Rushinga RDC,Rushinga,2,Chapinduka Primary Primary School,,0,222,0,1,11,9,0,243,234
Mash Central,Rushinga,Rushinga RDC,Rushinga,2,Mukosa Village Tent,,0,190,0,0,10,3,0,203,200
Mash Central,Rushinga,Rushinga RDC,Rushinga,2,Nyamuzeya Primary Primary School,,0,322,0,0,7,2,0,331,329
,,,,,,,,,,,,,,,
Mash Central,Rushinga,Rushinga RDC,Rushinga,3,Chimandau Primary Primary School,,0,301,1,0,13,4,0,319,315
Mash Central,Rushinga,Rushinga RDC,Rushinga,3,Chitange Primary Primary School,,6,476,1,2,8,12,0,505,493
Mash Central,Rushinga,Rushinga RDC,Rushinga,3,Machirinje Primary Primary School,,0,513,0,0,12,12,0,537,525
,,,,,,,,,,,,,,,
Mash Central,Rushinga,Rushinga RDC,Rushinga,4,Kunyeti Village Tent,,3,324,1,2,8,6,0,344,338
Mash Central,Rushinga,Rushinga RDC,Rushinga,4,Marymount Hospital Hospital,,0,223,0,0,5,2,0,230,228
Mash Central,Rushinga,Rushinga RDC,Rushinga,4,Marymount Secondary Secondary School,,1,530,0,1,13,6,0,551,545
,,,,,,,,,,,,,,,
Mash Central,Rushinga,Rushinga RDC,Rushinga,5,Makuni Primary Primary School,,1,176,0,0,5,0,0,182,182
Mash Central,Rushinga,Rushinga RDC,Rushinga,5,Makuni Secondary Secondary  School,,1,293,0,0,5,5,0,304,299
Mash Central,Rushinga,Rushinga RDC,Rushinga,5,Mukonde Primary Primary School,,2,433,1,0,3,3,0,442,439
,,,,,,,,,,,,,,,
Mash Central,Rushinga,Rushinga RDC,Rushinga,6,Kasenzi B.C. Tent,,0,347,0,1,5,9,0,362,353
Mash Central,Rushinga,Rushinga RDC,Rushinga,6,Kasenzi Primary Primary School,,0,244,0,3,6,2,0,255,253
Mash Central,Rushinga,Rushinga RDC,Rushinga,6,Nyabvedzi Village Tent,,0,206,0,0,1,9,0,216,207
Mash Central,Rushinga,Rushinga RDC,Rushinga,6,Nyanhoto Village Tent,,0,91,0,0,0,5,0,96,91
,,,,,,,,,,,,,,,
Mash Central,Rushinga,Rushinga RDC,Rushinga,7,Chipamuriwo Pre School Tent,,0,122,0,0,4,0,0,126,126
Mash Central,Rushinga,Rushinga RDC,Rushinga,7,Chomutukutu Secondary Secondary School,,6,701,1,4,29,15,0,756,741
Mash Central,Rushinga,Rushinga RDC,Rushinga,7,Kanzara Pre School Tent,,1,170,0,2,2,6,0,181,175
Mash Central,Rushinga,Rushinga RDC,Rushinga,7,Mandendera BC Tent,,0,304,0,3,9,5,0,321,316
Mash Central,Rushinga,Rushinga RDC,Rushinga,7,Mukazika Village Tent,,3,434,0,2,11,4,0,454,450
,,,,,,,,,,,,,,,
Mash Central,Rushinga,Rushinga RDC,Rushinga,12,Chitimbe Village Tent,,3,456,1,2,32,12,0,506,494
Mash Central,Rushinga,Rushinga RDC,Rushinga,12,Magaranhewe Primary Primary School,,5,696,0,9,59,12,0,781,769
Mash Central,Rushinga,Rushinga RDC,Rushinga,12,Magaranhewe Village Tent,,0,201,0,1,23,5,0,230,225
Mash Central,Rushinga,Rushinga RDC,Rushinga,12,Musvaire Primary Primary School,,0,365,0,0,18,3,0,386,383
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash Central,Rushinga,Rushinga RDC,Rushinga,13,Chimhanda Clinic Clinic,,2,284,0,1,36,7,0,330,323
Mash Central,Rushinga,Rushinga RDC,Rushinga,13,Humbasha Pre School Pre School,,1,227,0,2,16,9,0,255,246
Mash Central,Rushinga,Rushinga RDC,Rushinga,13,Kademeteme Village Tent,,0,330,0,2,19,9,0,360,351
Mash Central,Rushinga,Rushinga RDC,Rushinga,13,Kasanga Primary Primary School,,2,269,3,1,22,7,0,304,297
Mash Central,Rushinga,Rushinga RDC,Rushinga,13,Nyamakamba BC Tent,,3,200,0,2,41,6,0,252,246
,,,,,,,,,,,,,,,
Mash Central,Rushinga,Rushinga RDC,Rushinga,14,Chiripai Village Tent,,2,329,1,2,9,1,0,344,343
Mash Central,Rushinga,Rushinga RDC,Rushinga,14,Gwangwava Primary Primary School,,2,290,1,1,32,3,0,329,326
Mash Central,Rushinga,Rushinga RDC,Rushinga,14,Harumbwi Village Tent,,1,159,0,2,15,1,0,178,177
Mash Central,Rushinga,Rushinga RDC,Rushinga,14,Mubvumba Village Tent,,1,197,0,1,14,0,0,213,213
,,,,,,,,,,,,,,,
Mash Central,Rushinga,Rushinga RDC,Rushinga,15,Chimhanda Secondary Secondary  School,,1,390,0,1,74,6,0,472,466
Mash Central,Rushinga,Rushinga RDC,Rushinga,15,Chimhanda Water WorksTent,,2,246,0,3,8,5,0,264,259
Mash Central,Rushinga,Rushinga RDC,Rushinga,15,Maguwo BC Tent,,2,248,1,1,12,4,0,268,264
Mash Central,Rushinga,Rushinga RDC,Rushinga,15,Manetsera Primary Primary School,,0,301,0,1,11,3,0,316,313
,,,,,,,,,,,,,,,
Mash Central,Rushinga,Rushinga RDC,Rushinga,16,Bheti Village Tent,,1,120,0,0,4,2,0,127,125
Mash Central,Rushinga,Rushinga RDC,Rushinga,16,Chaparadza Primary Primary School,,1,438,0,0,9,2,0,450,448
Mash Central,Rushinga,Rushinga RDC,Rushinga,16,Chaparadza Village Tent,,2,206,0,0,4,1,0,213,212
Mash Central,Rushinga,Rushinga RDC,Rushinga,16,Huruma Primary Primary School,,0,479,0,0,9,3,1,491,488
Mash Central,Rushinga,Rushinga RDC,Rushinga,16,Mubvundudzi Primary Primary School,,0,295,0,0,4,0,0,299,299
,,,,,,,,,,,,,,,
Mash Central,Rushinga,Rushinga RDC,Rushinga,17,Chinaka Pre School Tent,,0,138,1,0,9,1,0,149,148
Mash Central,Rushinga,Rushinga RDC,Rushinga,17,Guti Village Tent,,0,121,0,0,16,2,0,139,137
Mash Central,Rushinga,Rushinga RDC,Rushinga,17,Mudzikatiri Village Tent,,2,328,0,0,6,6,0,342,336
Mash Central,Rushinga,Rushinga RDC,Rushinga,17,Rusambo Primary Primary School,,0,320,0,2,19,3,0,344,341
,,,,,,,,,,,,,,,
Mash Central,Rushinga,Rushinga RDC,Rushinga,18,Kamanika Primary Primary School,,2,585,3,2,13,3,0,608,605
Mash Central,Rushinga,Rushinga RDC,Rushinga,18,Mazowe Bridge V T C Hall,,2,419,1,1,8,6,0,437,431
Mash Central,Rushinga,Rushinga RDC,Rushinga,18,Musengu Village Tent,,3,208,0,1,1,12,0,225,213
Mash Central,Rushinga,Rushinga RDC,Rushinga,18,Nyamazizi Primary Primary School,,1,230,0,2,10,0,0,243,243
Mash Central,Rushinga,Rushinga RDC,Rushinga,18,Tungwengwe Village Tent,,1,170,1,0,6,1,0,179,178
,,,,,,,,,,,,,,,
Mash Central,Rushinga,Rushinga RDC,Rushinga,19,Chiromba Primary Primary School,,1,226,1,0,3,0,0,231,231
Mash Central,Rushinga,Rushinga RDC,Rushinga,19,Chizondo Village Tent,,1,249,0,1,6,3,0,260,257
Mash Central,Rushinga,Rushinga RDC,Rushinga,19,Madzinga Village Tent,,0,194,0,1,4,2,0,201,199
Mash Central,Rushinga,Rushinga RDC,Rushinga,19,Nyamanyanya Primary Primary School,,2,503,1,2,25,1,0,534,533
,,,,,,,,,,,,,,,
Mash Central,Rushinga,Rushinga RDC,Rushinga,20,Kasika Pre School Tent,,0,281,1,0,1,1,0,284,283
Mash Central,Rushinga,Rushinga RDC,Rushinga,20,Murehwa  Village  Tent,,3,305,0,0,1,2,0,311,309
,,,,,,,,,,,,,,,
Mash Central,Rushinga,Rushinga RDC,Rushinga,21,Chipwere Village Tent,,0,95,0,0,1,0,0,96,96
Mash Central,Rushinga,Rushinga RDC,Rushinga,21,Mazengera Village Tent,,0,366,1,0,4,2,0,373,371
Mash Central,Rushinga,Rushinga RDC,Rushinga,21,Nyanhewe Primary Primary School,,8,578,0,1,16,5,0,608,603
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash Central,Rushinga,Rushinga RDC,Rushinga,22,Gonzo Village Tent,,1,373,2,1,8,2,0,387,385
Mash Central,Rushinga,Rushinga RDC,Rushinga,22,Jangwa Village Tent,,0,280,0,0,1,1,0,282,281
Mash Central,Rushinga,Rushinga RDC,Rushinga,22,Karombe Village Tent,,3,261,0,0,3,6,0,273,267
Mash Central,Rushinga,Rushinga RDC,Rushinga,22,Maparepare Primary Primary School,,1,195,0,0,2,1,0,199,198
Mash Central,Rushinga,Rushinga RDC,Rushinga,22,Matoto Pre School Tent,,1,206,0,0,1,4,0,212,208
Mash Central,Rushinga,Rushinga RDC,Rushinga,22,Nyatsato Primary Primary School,,0,318,0,0,7,0,0,325,325
,,,,,,,,,,,,,,,
Mash Central,Rushinga,Rushinga RDC,Rushinga,23,Chipandire Pre School Pre  School,,2,183,0,0,2,3,0,190,187
Mash Central,Rushinga,Rushinga RDC,Rushinga,23,Katoni Primary Primary School,,0,334,0,0,2,3,0,339,336
Mash Central,Rushinga,Rushinga RDC,Rushinga,23,Mushongahande Village Tent,,0,365,1,0,5,12,0,383,371
,,,,,,,,,,,,,,,
Mash Central,Rushinga,Rushinga RDC,Rushinga,24,Rushinga District Public WPourbklsic Works Office,,1,435,1,7,146,8,0,598,590
Mash Central,Rushinga,Rushinga RDC,Rushinga,24,Rushinga Primary Primary School,,2,394,0,5,124,6,0,531,525
,,,,,,,,,,,,,,,
Mash Central,Rushinga,Rushinga RDC,Rushinga,25,Makachi Primary Primary School,,1,324,0,2,25,3,0,355,352
Mash Central,Rushinga,Rushinga RDC,Rushinga,25,Nyamasanga Pre School Pre  School,,1,261,0,1,12,7,0,282,275
Mash Central,Rushinga,Rushinga RDC,Rushinga,25,Nyamatikiti High School High  School,,0,186,0,0,14,3,0,203,200
Mash Central,Rushinga,Rushinga RDC,Rushinga,25,Nyamatikiti Primary Primary School,,2,235,0,3,19,6,0,265,259
,,,,,,,,,,,,,,,
Mash Central,,,,,Rushinga Constituency Totals,,99,24032,27,88,1175,362,1,25783,25421
Mash Central,Shamva,Chaminuka RDC,Shamva North,1,Chihuri Clinic Clinic,,4,659,0,11,69,10,0,753,743
Mash Central,Shamva,Chaminuka RDC,Shamva North,1,Chihuri Secondary Secondary  School,,1,773,2,12,72,7,0,867,860
,,,,,,,,,,,,,,,
Mash Central,Shamva,Chaminuka RDC,Shamva North,2,Mupfure Secondary Secondary  School,,3,652,0,3,21,12,0,691,679
,,,,,,,,,,,,,,,
Mash Central,Shamva,Chaminuka RDC,Shamva North,3,Bvuma BC Tent,,0,646,0,2,20,4,0,672,668
Mash Central,Shamva,Chaminuka RDC,Shamva North,3,Chizanga Village Tent,,0,179,1,0,3,3,0,186,183
Mash Central,Shamva,Chaminuka RDC,Shamva North,3,Madziwa Secondary Secondary  School,,3,1110,2,6,66,13,0,1200,1187
,,,,,,,,,,,,,,,
Mash Central,Shamva,Chaminuka RDC,Shamva North,4,Chiimbira Primary Primary School,,2,227,0,3,23,2,0,257,255
Mash Central,Shamva,Chaminuka RDC,Shamva North,4,Nyamaruro Clinic Clinic,,4,274,1,5,50,7,0,341,334
Mash Central,Shamva,Chaminuka RDC,Shamva North,4,Nyamaruro Primary Primary School,,5,317,2,3,47,5,0,379,374
,,,,,,,,,,,,,,,
Mash Central,Shamva,Chaminuka RDC,Shamva North,5,Kariwo Village Tent,,1,556,3,6,60,25,0,651,626
Mash Central,Shamva,Chaminuka RDC,Shamva North,5,Manyara Village Tent,,0,345,1,3,13,1,0,363,362
Mash Central,Shamva,Chaminuka RDC,Shamva North,5,Mushowani Primary Primary School,,1,634,1,2,27,13,0,678,665
,,,,,,,,,,,,,,,
Mash Central,Shamva,Chaminuka RDC,Shamva North,6,Chidabwe BC Tent,,3,723,0,6,35,17,0,784,767
Mash Central,Shamva,Chaminuka RDC,Shamva North,6,Kasukuwere Village Tent,,8,380,0,0,6,6,0,400,394
Mash Central,Shamva,Chaminuka RDC,Shamva North,6,Nyarukunda Secondary Secondary School,,2,403,1,5,45,20,0,476,456
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash Central,Shamva,Chaminuka RDC,Shamva North,7,Bradley High Secondary  School,,4,819,4,24,179,39,0,1069,1030
,,,,,,,,,,,,,,,
Mash Central,Shamva,Chaminuka RDC,Shamva North,8,Hore B.C. Tent,,1,187,2,2,25,2,0,219,217
Mash Central,Shamva,Chaminuka RDC,Shamva North,8,Mupfurudzi Primary Primary  School,,2,533,1,5,63,13,0,617,604
Mash Central,Shamva,Chaminuka RDC,Shamva North,8,Mupfurudzi Secondary Secondary  School,,1,368,1,2,24,3,0,399,396
,,,,,,,,,,,,,,,
Mash Central,Shamva,Chaminuka RDC,Shamva North,9,Chidembo Primary Primary School,,4,295,1,2,41,2,0,345,343
Mash Central,Shamva,Chaminuka RDC,Shamva North,9,Chidembo Secondary Secondary  School,,1,439,0,3,52,6,0,501,495
Mash Central,Shamva,Chaminuka RDC,Shamva North,9,Kasimbwi B.C. Tent,,4,298,3,6,47,7,0,365,358
Mash Central,Shamva,Chaminuka RDC,Shamva North,9,Rusununguko Primary School,,2,501,3,10,109,13,0,638,625
,,,,,,,,,,,,,,,
Mash Central,Shamva,Chaminuka RDC,Shamva North,10,Nyamaropa Clinic Clinic,,4,568,0,3,29,8,0,612,604
Mash Central,Shamva,Chaminuka RDC,Shamva North,10,Nyamaropa Primary Primary School,,4,592,1,9,80,25,0,711,686
,,,,,,,,,,,,,,,
Mash Central,Shamva,Chaminuka RDC,Shamva North,14,Chindunduma Primary Primary School,,2,292,0,0,7,6,0,307,301
Mash Central,Shamva,Chaminuka RDC,Shamva North,14,Magadzi Primary Primary School,,2,705,3,0,8,9,0,727,718
Mash Central,Shamva,Chaminuka RDC,Shamva North,14,Mukwari Primary Primary School,,1,508,1,1,1,5,0,517,512
Mash Central,Shamva,Chaminuka RDC,Shamva North,14,Ponesai Vanhu Tech. ColleTgeech. College,,0,511,0,1,23,7,0,542,535
Mash Central,Shamva,Chaminuka RDC,Shamva North,14,Simba Village Shed,,3,558,0,0,7,22,0,590,568
Mash Central,Shamva,Chaminuka RDC,Shamva North,14,Zvomanyanga Primary Primary School,,0,434,0,0,7,3,0,444,441
,,,,,,,,,,,,,,,
Mash Central,Shamva,Chaminuka RDC,Shamva North,16,Batsirai Primary Primary School,,3,600,0,0,10,5,0,618,613
Mash Central,Shamva,Chaminuka RDC,Shamva North,16,Madziva Mine SecondarySecondary School,,2,630,0,4,87,13,0,736,723
Mash Central,Shamva,Chaminuka RDC,Shamva North,16,Mudzinge Primary Primary School,,2,337,0,1,10,8,0,358,350
Mash Central,Shamva,Chaminuka RDC,Shamva North,16,Muringamombe Primary Primary School,,0,323,0,0,6,7,0,336,329
,,,,,,,,,,,,,,,
Mash Central,Shamva,Chaminuka RDC,Shamva North,25,Kaziro Primary Primary School,,3,756,0,5,79,13,0,856,843
,,,,,,,,,,,,,,,
Mash Central,Shamva,Chaminuka RDC,Shamva North,26,Madziva Council Hall Council boardroom,,2,313,2,3,109,8,0,437,429
Mash Central,Shamva,Chaminuka RDC,Shamva North,26,Mutumba High Secondary  School,,0,353,4,9,73,8,0,447,439
Mash Central,Shamva,Chaminuka RDC,Shamva North,26,Mutumba Primary Primary School,,1,240,0,4,84,2,0,331,329
,,,,,,,,,,,,,,,
Mash Central,,,,,Shamva North Constituency Totals,,85,19038,40,161,1717,379,0,21420,21041
Mash Central,Shamva,Chaminuka RDC,Shamva South,11,Chakonda Council BoardrBooamrd room,,7,740,4,10,89,27,0,877,850
Mash Central,Shamva,Chaminuka RDC,Shamva South,11,Gono Primary Primary School,,12,658,1,9,69,89,1,838,749
,,,,,,,,,,,,,,,
Mash Central,Shamva,Chaminuka RDC,Shamva South,12,Jiti Primary Primary School,,3,610,1,14,103,13,0,744,731
Mash Central,Shamva,Chaminuka RDC,Shamva South,12,Nanazi Village Tent,,2,362,0,0,10,9,0,383,374
Mash Central,Shamva,Chaminuka RDC,Shamva South,12,Sindura Village Tent,,6,505,1,2,22,29,0,565,536
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash Central,Shamva,Chaminuka RDC,Shamva South,13,Bushu Primary Primary School,,2,532,0,4,36,4,0,578,574
Mash Central,Shamva,Chaminuka RDC,Shamva South,13,Chishapa Primary Primary School,,3,705,0,2,23,9,0,742,733
,,,,,,,,,,,,,,,
Mash Central,Shamva,Chaminuka RDC,Shamva South,15,Chemhanza Primary Primary School,,0,470,0,0,1,3,0,474,471
Mash Central,Shamva,Chaminuka RDC,Shamva South,15,Chemhondoro Primary Primary School,,0,173,0,0,1,0,0,174,174
Mash Central,Shamva,Chaminuka RDC,Shamva South,15,Chevakadzi Private Primary School,,4,1069,1,0,16,8,0,1098,1090
Mash Central,Shamva,Chaminuka RDC,Shamva South,15,Utsigi Lot 10 Village Tent,,1,377,0,0,4,9,0,391,382
,,,,,,,,,,,,,,,
Mash Central,Shamva,Chaminuka RDC,Shamva South,17,Mugagau Village Tent,,0,397,0,0,4,6,0,407,401
Mash Central,Shamva,Chaminuka RDC,Shamva South,17,Nyamahumbe Primary Primary School,,4,626,0,0,3,13,0,646,633
Mash Central,Shamva,Chaminuka RDC,Shamva South,17,Pfumvuti Primary Primary School,,2,1098,0,3,17,27,0,1147,1120
Mash Central,Shamva,Chaminuka RDC,Shamva South,17,Rustington Primary Primary School,,0,500,0,0,6,8,0,514,506
,,,,,,,,,,,,,,,
Mash Central,Shamva,Chaminuka RDC,Shamva South,18,Golden Star ResettlementTent,,3,511,1,0,4,2,0,521,519
Mash Central,Shamva,Chaminuka RDC,Shamva South,18,Pote store Tent,,0,412,0,0,13,10,0,435,425
Mash Central,Shamva,Chaminuka RDC,Shamva South,18,Soma Primary Primary School,,2,294,0,0,2,5,0,303,298
Mash Central,Shamva,Chaminuka RDC,Shamva South,18,SOS Engineering Hall,,1,344,0,2,21,11,0,379,368
,,,,,,,,,,,,,,,
Mash Central,Shamva,Chaminuka RDC,Shamva South,19,Mont Dor Mine Tent,,5,697,0,4,8,5,0,719,714
Mash Central,Shamva,Chaminuka RDC,Shamva South,19,Musau ResettlementT  e  nt,,0,183,0,0,0,1,0,184,183
Mash Central,Shamva,Chaminuka RDC,Shamva South,19,Nherera Primary Primary School,,7,543,0,0,29,7,0,586,579
Mash Central,Shamva,Chaminuka RDC,Shamva South,19,Shamva Mine Centre Tent,,3,450,0,0,8,4,0,465,461
,,,,,,,,,,,,,,,
Mash Central,Shamva,Chaminuka RDC,Shamva South,20,Carriers Rest ResettlemenTtent,,0,379,0,1,6,1,0,387,386
Mash Central,Shamva,Chaminuka RDC,Shamva South,20,Chiraramo Primary Primary School,,0,395,0,0,11,4,0,410,406
Mash Central,Shamva,Chaminuka RDC,Shamva South,20,Enterprise Primary Primary School,,3,358,1,1,32,19,0,414,395
Mash Central,Shamva,Chaminuka RDC,Shamva South,20,Mushambanyama PrimarPyrimary School,,3,955,0,2,23,4,0,987,983
,,,,,,,,,,,,,,,
Mash Central,Shamva,Chaminuka RDC,Shamva South,21,Chewarika Pre School Pre  School,,0,126,0,0,1,2,0,129,127
Mash Central,Shamva,Chaminuka RDC,Shamva South,21,Kushinga Primary Primary School,,0,511,0,0,14,9,0,534,525
Mash Central,Shamva,Chaminuka RDC,Shamva South,21,Nyamadombe ResettlemeTnetnt,,1,261,0,0,4,1,0,267,266
Mash Central,Shamva,Chaminuka RDC,Shamva South,21,Palmgroove Store Tent,,0,228,0,1,8,7,0,244,237
,,,,,,,,,,,,,,,
Mash Central,Shamva,Chaminuka RDC,Shamva South,22,Marimira B.C. Tent,,1,494,2,15,200,30,0,742,712
Mash Central,Shamva,Chaminuka RDC,Shamva South,22,Wadzanai Welfare Hall Welfare Hall,,2,536,0,11,134,16,0,699,683
,,,,,,,,,,,,,,,
Mash Central,Shamva,Chaminuka RDC,Shamva South,23,Chaminuka Sub Council Boardroom,,3,420,1,4,137,9,0,574,565
,,,,,,,,,,,,,,,
Mash Central,Shamva,Chaminuka RDC,Shamva South,24,Wadzanai Primary Primary School,,1,400,0,6,113,30,0,550,520
Mash Central,Shamva,Chaminuka RDC,Shamva South,24,Wadzanai Secondary Secondary  School,,1,385,0,5,67,7,0,465,458
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash Central,Shamva,Chaminuka RDC,Shamva South ,27,Mashambe Primary Primary School,,1,375,0,0,7,3,0,386,383
Mash Central,Shamva,Chaminuka RDC,Shamva South ,27,Principe Irrigation SchemeTent,,1,503,1,1,3,5,0,514,509
Mash Central,Shamva,Chaminuka RDC,Shamva South ,27,Sanye Primary Primary School,,1,698,0,0,13,4,0,716,712
,,,,,,,,,,,,,,,
Mash Central,Shamva,Chaminuka RDC,Shamva South ,28,Tafuna Cargil Depot Cargill Depot,,1,575,0,2,70,8,0,656,648
