Province,Local Authorithy,District,Constituency,"WardNo.",Polling Station,Facility,"Dabengwa DumisoZAPU","Mugabe RobertGabriel ZANU PF","Mukwashe MunodeiKisinoti ZDP","Ncube WelshmanMDC","Tsvangirayi MorganMDC-T","Total VotesRejected","Ballot PaperUnaccounted for",Total Votes Cast,"TotalValidVotesCast"
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,16,Zviumwa,Secondary School,2,292,1,6,61,10,0,372,362
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,17,Beacon Kop Farmhouse 2,Tent,0,187,0,2,6,7,0,202,195
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,17,Chikwingwizha,Seminary,1,232,0,2,60,7,0,302,295
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,17,Highlands Homestead,Tent,0,69,0,1,4,1,0,75,74
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,17,Surprise Art Centre,Tent,0,34,0,1,13,1,0,49,48
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,17,Totonga,Primary School,1,308,0,4,40,5,0,358,353
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,17,Valley Chrome,Primary School,0,118,0,2,37,9,0,166,157
,,,,,,,,,,,,,,,
