Province,Local Authority,District,Constituency,Ward No.,Polling Station,Facility,"DabengwaDumisoZAPU","Mugabe RobertGabriel    ZANU PF","MukwazheMunodeiKisinoti ZDP","NcubeWelshmanMDC","TsvangirayiMorganMDC-T","Total VotesRejected","Ballot PaperUnaccounted for","Total VotesCast","Total ValidVotes Cast",
Manicaland,Mutasa RDC,Mutasa,Mutasa North,30,Pimai Primary School,School,6,325,2,20,233,42,0,628,586,
Manicaland,Mutasa RDC,Mutasa,Mutasa North,30,Rumbizi Rest Camp,Tent,0,125,2,12,125,6,0,270,264,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Manicaland,Mutasa RDC,Mutasa,Mutasa North,31,DDF Rest Camp(Tent),Tent,0,181,0,5,187,4,0,377,373,
Manicaland,Mutasa RDC,Mutasa,Mutasa North,31,Hauna Ground/Airstrip(Tent),Tent,2,253,1,5,206,8,0,475,467,
Manicaland,Mutasa RDC,Mutasa,Mutasa North,31,Nyatsanza Primary School,School,3,55,0,4,59,5,0,126,121,
Manicaland,Mutasa RDC,Mutasa,Mutasa North,31,Ruda Primary School,School,1,92,0,4,73,11,0,181,170,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Manicaland,Mutare Municipality,Mutasa,Mutasa South,11,Mutare Boys High School,School,1,131,0,4,339,7,0,482,475,
Manicaland,Mutare Municipality,Mutasa,Mutasa South,11,Mutare Girls High School,School,0,131,0,4,267,2,0,404,402,
Manicaland,Mutare Municipality,Mutasa,Mutasa South,11,Mutare Junior School,School,1,252,1,5,401,7,0,667,660,
Manicaland,Mutare Municipality,Mutasa,Mutasa South,11,Mutare Polytechnic,College,1,106,0,2,359,1,0,469,468,
Manicaland,Mutare Municipality,Mutasa,Mutasa South,11,St Dominics High School,School,0,67,0,1,221,4,0,293,289,
Manicaland,Mutare Municipality,Mutasa,Mutasa South,11,Vumba Service Station (Tent),Tent,0,81,0,3,176,2,0,262,260,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Manicaland,Mutare Municipality,Mutasa,Mutasa South,12,Baring Primary School,School,2,344,0,7,460,12,0,825,813,
Manicaland,Mutare Municipality,Mutasa,Mutasa South,12,Borderhills Junior School,School,2,232,2,1,191,3,0,431,428,
Manicaland,Mutare Municipality,Mutasa,Mutasa South,12,Chancellor Primary School,School,0,446,0,4,399,6,0,855,849,
Manicaland,Mutare Municipality,Mutasa,Mutasa South,12,Early Learning Centre,centre,0,286,1,9,498,6,0,800,794,
Manicaland,Mutare Municipality,Mutasa,Mutasa South,12,Fairbridge Park Flats(Tent),Tent,1,446,0,8,253,5,0,713,708,
Manicaland,Mutare Municipality,Mutasa,Mutasa South,12,Hillside Sports Club,Hall,0,240,1,7,411,2,0,661,659,
Manicaland,Mutare Municipality,Mutasa,Mutasa South,12,Show Grounds(Tent),Tent,6,559,0,3,95,16,0,679,663,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Manicaland,Mutare Municipality,Mutasa,Mutasa South,14,Chengetai Primary School,School,1,133,0,3,243,5,0,385,380,
Manicaland,Mutare Municipality,Mutasa,Mutasa South,14,Chikanga Hall,Hall,1,168,0,6,351,4,0,530,526,
Manicaland,Mutare Municipality,Mutasa,Mutasa South,14,Chikanga Primary School,School,0,200,0,10,436,12,0,658,646,
Manicaland,Mutare Municipality,Mutasa,Mutasa South,14,Chikanga Secondary School,School,0,184,0,4,355,3,0,546,543,
Manicaland,Mutare Municipality,Mutasa,Mutasa South,14,Cornershop World Bank(Tent),Tent,0,199,2,20,413,13,0,647,634,
Manicaland,Mutare Municipality,Mutasa,Mutasa South,14,General Dealer Chikanga (Tent),Tent,0,168,0,7,316,7,0,498,491,
