Local Authority,Ward,Name of Candidate,Sex,Party,Result
"",Bulawayo Municipality,25,Dube Mzama,M,MDC-T,280
"",Bulawayo Municipality,25,Mlilo Alice,F,ZANU PF,154
"",Bulawayo Municipality,25,Ndlovu Joseph,M,MDC,65
"",Bulawayo Municipality,25,Ndlovu Jonathan,M,ZAPU,17
"",,,,,,
"",Bulawayo Municipality,26,Hlabano Norman,M,MDC-T,197
"",Bulawayo Municipality,26,Mpofu Enerst Ignatius,M,MDC,49
"",Bulawayo Municipality,26,Moyo Danisa,M,ZAPU,24
"",Bulawayo Municipality,26,Moyo Sibongile,F,A.K.E,4
"",Bulawayo Municipality,26,Sibanda Lungisani,M,ZANU PF,86
"",Bulawayo Municipality,26,Sauramba Lemmy Artin,M,Independent,8
"",,,,,,
"",Bulawayo Municipality,27,Khumalo Siboniso,M,MDC-T,218
"",Bulawayo Municipality,27,Charumbira Kalfinos,M,ZANU PF,115
"",Bulawayo Municipality,27,Ndlovu Edwin,M,MDC,50
"",Bulawayo Municipality,27,Ncube Peter,M,ZAPU,9
"",,,,,,
"",Bulawayo Municipality,28,Ndhlovu Collet,M,MDC-T,334
"",Bulawayo Municipality,28,Nkomo Nqabutho,M,ZANUPF,191
"",Bulawayo Municipality,28,Bungu Merjury,F,MDC,66
"",Bulawayo Municipality,28,Dube Enock,M,ZAPU,22
"",Bulawayo Municipality,28,Mathuthu Mbuso,M,Independent,15
"",Bulawayo Municipality,28,Ndhlovu Clemence,M,AKE,3
"",,,,,,
"",Bulawayo Municipality,29,Lubimbi Monicah,F,MDC-T,264
"",Bulawayo Municipality,29,Mabanda Kelboy,M,MDC,83
"",Bulawayo Municipality,29,Ncube Gezephi,F,ZANU PF,75
Bulawayo Municipality,29,Gumbi Madolo Musa,F,ZAPU,17,
LOCAL AUTHORITY,WARD,NAME OF CANDIDATE,SEX,PARTY,RESULT
Chitungwiza Municipality,1,Muchakwa Tichaona,M,MDC-T,87
Chitungwiza Municipality,1,Mbewa Rodwell,M,ZANU-PF,85
Chitungwiza Municipality,1,Kondwani Collen,M,UMD,4
Chitungwiza Municipality,2,Mutoti Phillip,M,MDC-T,"1,13"
Chitungwiza Municipality,2,Gunda Moab,M,ZANU-PF,"1,10"
Chitungwiza Municipality,2,Sekhala Annah,F,MDC,8
Chitungwiza Municipality,2,Zigara Webster Alex,M,INDEPENDENT,3
Chitungwiza Municipality,3,Saimon Tendai,M,MDC-T,96
Chitungwiza Municipality,3,Pfani Godfrey,M,ZANU-PF,70
Chitungwiza Municipality,3,Matiyenga John,M,INDEPENDENT,23
Chitungwiza Municipality,3,Gwabada Nori,F,MDC,11
Chitungwiza Municipality,4,Mapuranga Shuddy,M,ZANU-PF,"1,47"
Chitungwiza Municipality,4,Jateni Mangira,M,MDC-T,"1,26"
Chitungwiza Municipality,4,Manyonganise Boniface,M,MDC-T,56
Chitungwiza Municipality,5,Chamutsa Richard,M,MDC-T,88
Chitungwiza Municipality,5,Mutambi Muranganwa,M,ZANU-PF,67
Chitungwiza Municipality,5,Madzinga Fungai,M,MDC,8
"",Chitungwiza Municipality,6,Dzere Rudo,F,ZANU-PF,"1,81"
"",Chitungwiza Municipality,6,Dzvukamanja Richard,M,MDC-T,"1,29"
"",Chitungwiza Municipality,6,Nyarenda Mathew,M,MDC-T,7
"",Chitungwiza Municipality,6,Moyo Johnson Mukaro,M,INDEPENDENT,7
