province,local_authority,ward_no,candidate,sex,party,contested,votes
mash central,bindura rdc,20,tsvekesi amos,m,mdc t,1,107
mash central,bindura rdc,21,damiso kennedy,m,zanu pf,1,1995
mash central,bindura rdc,21,moyo alfred,m,mdc t,1,474
mash central,chaminuka rdc,1,chiodza eswart ophias,m,zanu pf,1,1467
mash central,chaminuka rdc,1,maringisanwa mavis,f,mdc t,1,134
mash central,chaminuka rdc,2,kanyerere tsikai,m,zanu pf,1,665
mash central,chaminuka rdc,2,chihuri aleck,m,mdc t,1,16
mash central,chaminuka rdc,3,gwangwava gunzvi,m,zanu pf,1,1990
mash central,chaminuka rdc,3,gandanhamo bernard,m,mdc t,1,56
mash central,chaminuka rdc,4,chiyimbira paul,m,zanu pf,1,854
mash central,chaminuka rdc,4,saurosi chipo,f,mdc t,1,116
mash central,chaminuka rdc,5,munetsi kenias,m,zanu pf,1,1572
mash central,chaminuka rdc,5,yohane chenai ngirina,f,mdc t,1,75
mash central,chaminuka rdc,6,bhuka green,m,zanu pf,1,1559
mash central,chaminuka rdc,6,chawasarira faithful,f,mdc t,1,67
mash central,chaminuka rdc,7,munangatire george,m,zanu pf,0,uncontested
mash central,chaminuka rdc,8,gorejena eric,m,zanu pf,1,1117
mash central,chaminuka rdc,8,chirewo dumisani,m,mdc t,1,111
mash central,chaminuka rdc,9,chirimuuta pamhidzayi,f,zanu pf,1,1609
mash central,chaminuka rdc,9,kachai stanford,m,mdc t,1,209
mash central,chaminuka rdc,10,chinanga margaret,f,zanu pf,1,1219
mash central,chaminuka rdc,10,chanaiwa ruth,f,mdc t,1,84
mash central,chaminuka rdc,11,gonoremvuu kumunda dou,m,zlansu pf,1,1478
mash central,chaminuka rdc,11,matsika dorothy,f,mdc t,1,156
mash central,chaminuka rdc,12,chanaiwa owen,m,zanu pf,1,1549
mash central,chaminuka rdc,12,madovi epiphania,f,mdc t,1,41
mash central,chaminuka rdc,13,gara sani,m,zanu pf,1,1264
mash central,chaminuka rdc,13,mugoma promise,m,mdc t,1,41
mash central,chaminuka rdc,14,dzapasi clever,m,zanu pf,1,3052
mash central,chaminuka rdc,14,chinodakufa design,m,mdc t,1,50
mash central,chaminuka rdc,15,ndaveni kwayedza,m,zanu pf,1,2097
mash central,chaminuka rdc,15,motsi tawanda,m,mdc t,1,26
mash central,chaminuka rdc,16,sadza tashupika,m,zanu pf,1,1939
mash central,chaminuka rdc,16,chiruka aaron,m,mdc t,1,81
mash central,chaminuka rdc,17,mupeusa cleophas,m,zanu pf,1,1116
mash central,chaminuka rdc,17,chirige zvanyadza,f,mdc t,1,18
mash central,chaminuka rdc,18,ganye norma,f,zanu pf,1,1560
mash central,chaminuka rdc,18,chande huggins,m,mdc t,1,44
mash central,chaminuka rdc,19,zihowa willard,m,zanu pf,1,1900
mash central,chaminuka rdc,19,tigere cuthbert,m,mdc t,1,31
mash central,chaminuka rdc,20,manyara enerst,m,zanu pf,1,2120
mash central,chaminuka rdc,20,sibanda shadreck,m,mdc t,1,53
mash central,chaminuka rdc,21,mupwanyiwa blantina m,f,zanu pf,1,1133
mash central,chaminuka rdc,21,machingura washington,m,mdc t,1,24
mash central,chaminuka rdc,22,mupesa evelyn,f,zanu pf,1,1139
mash central,chaminuka rdc,22,fata alfred,m,mdc t,1,260
mash central,chaminuka rdc,23,chindoko rodreck,m,zanu pf,1,468
mash central,chaminuka rdc,23,mugwambi patrick t,m,mdc t,1,98
mash central,chaminuka rdc,24,zvizhinji nevison,m,zanu pf,1,391
mash central,chaminuka rdc,24,tamira asyberry,m,mdc t,1,68
mash central,chaminuka rdc,25,kaingidza adam,m,zanu pf,1,785
mash central,chaminuka rdc,25,muronzi cyril,m,mdc t,1,61
mash central,chaminuka rdc,26,kufinya bigboy,m,zanu pf,1,986
mash central,chaminuka rdc,26,damiso forget,m,mdc t,1,204
mash central,chaminuka rdc,27,mataiki gadzirirayi,m,zanu pf,1,711
mash central,chaminuka rdc,27,madzinga dorcas,f,mdc t,1,3
mash central,chaminuka rdc,28,mwale shadreck,m,zanu pf,1,1018
mash central,chaminuka rdc,28,zebediaa erina,f,mdc t,1,88
mash central,chaminuka rdc,29,chinofura mockyard,m,zanu pf,1,1645
mash central,chaminuka rdc,29,chikomo prince,m,mdc t,1,756
mash central,guruve rdc,1,moyo tsitsi,f,zanu pf,1,3450
mash central,guruve rdc,1,gwena angeline,f,mdc t,1,94
mash central,guruve rdc,2,mabido victor,m,zanu pf,1,1785
mash central,guruve rdc,2,bara chipo,f,mdc t,1,15
mash central,guruve rdc,3,mutirori makomborero,m,zanu pf,1,617
mash central,guruve rdc,3,zindoga godknows,m,mdc t,1,32
mash central,guruve rdc,4,kafungura lencio,m,zanu pf,1,1650
mash central,guruve rdc,4,kudyahakudadirwe wonder,m,mdc t,1,112
mash central,guruve rdc,5,kamuzonde mike,m,zanu pf,1,1799
mash central,guruve rdc,5,matekenya matambudziko,m,mdc t,1,352
mash central,guruve rdc,5,chimuka richardin,m,independent,1,62
mash central,guruve rdc,6,mazhambe firai,m,zanu pf,1,2102
mash central,guruve rdc,6,chimanikire solomon,m,mdc t,1,634
mash central,guruve rdc,6,kawanzaruwa christmas,m,mdc,1,119
mash central,guruve rdc,7,kamambo forbes,m,zanu pf,1,1455
mash central,guruve rdc,7,velem tendai,m,mdc t,1,442
mash central,guruve rdc,7,kahari regai,m,mdc,1,84
mash central,guruve rdc,8,mutahwarira arnold t,m,zanu pf,1,1596
mash central,guruve rdc,8,gangarahwe darlington,m,mdc t,1,347
mash central,guruve rdc,9,kamba misheck,m,zanu pf,1,1228
mash central,guruve rdc,9,mativirira owen,m,mdc t,1,159
mash central,guruve rdc,10,kaseke maplan,m,zanu pf,1,860
mash central,guruve rdc,10,nyandoro tinei,m,mdc t,1,218
mash central,guruve rdc,11,machumi samuel,m,zanu pf,1,1829
mash central,guruve rdc,11,masango brighton,m,mdc t,1,258
mash central,guruve rdc,12,munzara blessmore,m,zanu pf,1,1909
mash central,guruve rdc,12,murisa owen,m,mdc t,1,240
mash central,guruve rdc,13,jeke ngoni,m,zanu pf,1,2345
mash central,guruve rdc,13,chizombe gift,m,mdc t,1,75
mash central,guruve rdc,14,pasipanodya tasi,m,zanu pf,1,1337
mash central,guruve rdc,14,tawa plaxcedes,f,mdc t,1,150
mash central,guruve rdc,15,machengo patrick p,m,zanu pf,1,961
mash central,guruve rdc,15,torongo tongai,m,mdc t,1,11
mash central,guruve rdc,16,mandaza sadson,m,zanu pf,1,1493
mash central,guruve rdc,16,matekenya lovemore,m,mdc t,1,68
mash central,guruve rdc,17,mukahanana liliford,m,zanu pf,1,557
mash central,guruve rdc,17,mapira lucy,f,mdc t,1,16
mash central,guruve rdc,17,mangove watson,m,mdc,1,5
mash central,guruve rdc,18,nyamakato stanley,m,zanu pf,1,1302
mash central,guruve rdc,18,matekenya orderly,m,mdc t,1,128
mash central,guruve rdc,18,velem crispen,m,mdc,1,34
mash central,guruve rdc,19,nzvimbo ruramai,f,zanu pf,0,uncontested
mash central,guruve rdc,20,gwaze bhoyidho,m,zanu pf,1,1646
mash central,guruve rdc,20,kashiri zeckmore,m,mdc t,1,281
mash central,guruve rdc,20,dondo tinashe,m,mdc,1,49
mash central,guruve rdc,21,chabayanzara freedom,m,zanu pf,0,uncontested
mash central,guruve rdc,22,muriro stone,m,zanu pf,1,1517
mash central,guruve rdc,22,muronzi evans,m,mdc -t,1,395
mash central,guruve rdc,23,kambirimi power,m,zanu pf,1,1508
mash central,guruve rdc,23,zeze phanuel,m,mdc t,1,31
mash central,guruve rdc,23,tsekera michael,m,mdc,1,20
mash central,guruve rdc,24,mupesa givemore,m,zanu pf,1,1255
mash central,guruve rdc,24,chinhoyi sherphard,m,mdc t,1,148
mash central,guruve rdc,24,gutura kudakwashe,m,mdc,1,25
mash central,mazowe rdc,1,mahere alois,m,zanu pf,1,998
mash central,mazowe rdc,1,bvuure tsungai,m,mdc t,1,223
mash central,mazowe rdc,2,zimbiti again,m,zanu pf,1,1437
mash central,mazowe rdc,2,chiripanyanga sylvia,f,mdc t,1,133
mash central,mazowe rdc,3,chopamba eswell,m,zanu pf,1,1524
mash central,mazowe rdc,3,musonza tarisai,m,mdc t,1,214
mash central,mazowe rdc,4,mutopa michael,m,zanu pf,1,1071
mash central,mazowe rdc,4,jonga tichawona,m,mdc t,1,213
mash central,mazowe rdc,5,shangwa webson,m,zanu pf,1,1423
mash central,mazowe rdc,5,chinake vine,m,mdc -t,1,223
mash central,mazowe rdc,5,chinyemba mary,f,mdc,1,45
mash central,mazowe rdc,6,chishani munyaradzi,m,zanu pf,1,1031
mash central,mazowe rdc,6,nyaunga saul,m,mdc t,1,336
mash central,mazowe rdc,7,bemberere naison,m,zanu pf,1,1285
mash central,mazowe rdc,7,bosha patrick,m,mdc t,1,516
mash central,mazowe rdc,7,chaora tongai,m,mdc,1,55
mash central,mazowe rdc,8,mukahiwa elisha,m,zanu pf,1,1585
mash central,mazowe rdc,8,kademaunga webb,m,mdc t,1,895
mash central,mazowe rdc,9,mudzonga john,m,zanu pf,1,1278
mash central,mazowe rdc,9,musarara wadzanayi,f,mdc t,1,599
mash central,mazowe rdc,10,chinhema chakabvepi,f,zanu pf,1,1322
mash central,mazowe rdc,10,musemwa martin,m,mdc t,1,617
mash central,mazowe rdc,10,takarowa tichaona,m,mdc,1,47
mash central,mazowe rdc,11,chinyemba daniel,m,zanu pf,1,1610
mash central,mazowe rdc,11,chironga hilton,m,mdc t,1,566
mash central,mazowe rdc,12,muzhira brighton,m,zanu pf,1,1242
mash central,mazowe rdc,12,mbiswa tawanda,m,mdc t,1,850
mash central,mazowe rdc,13,mutyavaviri edward,m,zanu pf,1,1532
mash central,mazowe rdc,13,murambwa vincent,m,mdc t,1,465
mash central,mazowe rdc,13,chirara jethro,m,mdc,1,97
mash central,mazowe rdc,14,karasa samson,m,zanu pf,1,1901
mash central,mazowe rdc,14,gweshe godfrey,m,mdc t,1,209
mash central,mazowe rdc,15,chinyoka paradzai,m,zanu pf,1,1129
mash central,mazowe rdc,15,mudogori chamunorwa,m,mdc t,1,281
mash central,mazowe rdc,15,kawara abraham,m,mdc,1,69
mash central,mazowe rdc,16,mutauri munyaradzi,m,zanu pf,1,760
mash central,mazowe rdc,16,zhantali benhildah,f,mdc t,1,258
mash central,mazowe rdc,16,machemedze dudzai,f,mdc,1,70
mash central,mazowe rdc,17,chimumba dominic,m,zanu pf,1,995
mash central,mazowe rdc,17,gwenhure norbert,m,mdc t,1,586
mash central,mazowe rdc,17,masuko evelyn,f,mdc,1,67
mash central,mazowe rdc,18,gombo anyway,m,zanu pf,1,1226
mash central,mazowe rdc,18,gova george,m,mdc t,1,174
mash central,mazowe rdc,18,sande wiriranai,m,mdc,1,52
mash central,mazowe rdc,19,mutauri nelson,m,zanu pf,1,1350
mash central,mazowe rdc,19,zarira nobert,m,mdc -t,1,396
mash central,mazowe rdc,19,kapinde tonderai,m,mdc,1,138
mash central,mazowe rdc,20,chitumbu smart,m,zanu pf,1,1502
mash central,mazowe rdc,20,tedza alexander t,m,mdc t,1,874
mash central,mazowe rdc,21,dumisani charles l,m,zanu pf,1,1360
mash central,mazowe rdc,21,choto mike,m,mdc t,1,249
mash central,mazowe rdc,21,mushipe rujeko patience,f,mdc,1,54
mash central,mazowe rdc,22,maparadza mirriam,f,zanu pf,1,971
mash central,mazowe rdc,22,mwanarona itayi,f,mdc t,1,792
mash central,mazowe rdc,22,musinagura problem,f,mdc,1,134
mash central,mazowe rdc,23,muchadakuenda temba,m,zanu pf,1,1090
mash central,mazowe rdc,23,vengesa glenda,f,mdc t,1,83
mash central,mazowe rdc,24,chiwanza ottilia,f,zanu pf,1,1601
mash central,mazowe rdc,24,demberere mavura,m,mdc t,1,162
mash central,mazowe rdc,24,masango judith,f,mdc,1,30
mash central,mazowe rdc,25,chisero collias,m,zanu pf,1,2102
mash central,mazowe rdc,25,madamombe frank,m,mdc t,1,62
mash central,mazowe rdc,26,mazhambe shereni,m,zanu pf,1,1754
mash central,mazowe rdc,26,mtuluko peter,m,mdc t,1,73
mash central,mazowe rdc,27,sarakudze collin,m,zanu pf,1,2207
mash central,mazowe rdc,27,buzuzu supa,m,mdc t,1,140
mash central,mazowe rdc,28,murengwa vincent,m,zanu pf,1,2064
mash central,mazowe rdc,28,samhu tonderai p,m,mdc t,1,680
mash central,mazowe rdc,29,machiridza nicholas j,m,zanu pf,1,2375
mash central,mazowe rdc,29,musimba tanga,m,mdc t,1,67
mash central,mazowe rdc,30,maveneke theresa c,f,zanu pf,1,2305
mash central,mazowe rdc,30,matava hardwordk,m,mdc t,1,85
mash central,mazowe rdc,31,mazikana ananciata,f,zanu pf,1,1542
mash central,mazowe rdc,31,marumahoko macheka,m,mdc t,1,157
mash central,mazowe rdc,31,makina willson s,m,mdc,1,44
mash central,mazowe rdc,32,manongwa maud,f,zanu pf,1,1525
mash central,mazowe rdc,32,gweshe shingirai,m,mdc t,1,73
mash central,mazowe rdc,32,matsvetu lazarusin,m,independent,1,31
mash central,mazowe rdc,33,kasere mitchell,m,zanu pf,1,1196
mash central,mazowe rdc,33,badzarigere aleck j,m,mdc t,1,670
mash central,mazowe rdc,33,mushipe eunice,f,mdc,1,51
mash central,mazowe rdc,34,chinotimba edwin,m,zanu pf,1,1087
mash central,mazowe rdc,34,nyamukonda elector,f,mdc t,1,70
mash central,mazowe rdc,35,mudzingwa johnson,m,zanu pf,1,741
mash central,mazowe rdc,35,mushonga hilton,m,mdc t,1,363
mash central,mbire rdc,1,kachasu christmas,m,zanu pf,1,736
mash central,mbire rdc,1,mwanza frank,m,mdc t,1,173
mash central,mbire rdc,2,jasi liziwe,f,zanu pf,1,1434
mash central,mbire rdc,2,marimba isaki,m,mdc t,1,251
mash central,mbire rdc,2,mapfumo daniel pin,m,independent,1,25
mash central,mbire rdc,3,mutematsaka biggie,m,zanu pf,1,1570
mash central,mbire rdc,3,yobe robson,m,mdc t,1,216
mash central,mbire rdc,4,koni dhoro,m,zanu pf,1,1551
mash central,mbire rdc,4,chirenga jessman,m,mdc t,1,476
mash central,mbire rdc,5,bell joseph,m,zanu pf,1,1602
mash central,mbire rdc,5,gatsi esaki,m,mdc t,1,122
mash central,mbire rdc,6,makuvatsine gibson,m,zanu pf,1,1053
mash central,mbire rdc,6,mavhura patrick,m,mdc t,1,122
mash central,mbire rdc,6,chimuperu vengesai,m,mdc,1,45
mash central,mbire rdc,7,chiponda barbara,f,zanu pf,1,965
mash central,mbire rdc,7,charewa abraham,m,mdc t,1,129
mash central,mbire rdc,8,mambo ernest,m,zanu pf,1,1926
mash central,mbire rdc,8,zhou takunda,m,mdc t,1,206
mash central,mbire rdc,9,musarurwa musanyara,f,zanu pf,1,849
mash central,mbire rdc,9,mutaiwa tapiwa,m,mdc -t,1,503
mash central,mbire rdc,10,makuwerere sam,m,zanu pf,1,2173
mash central,mbire rdc,10,kamuchato sabastin,m,mdc t,1,182
mash central,mbire rdc,11,chaukura ishmael,m,zanu pf,0,uncontested
mash central,mbire rdc,12,chidongo robson,m,zanu pf,1,1580
mash central,mbire rdc,12,mupinyuri isaac,m,mdc t,1,449
mash central,mbire rdc,13,kavhiku albert,m,zanu pf,1,989
mash central,mbire rdc,13,dlamini pongo,m,mdc -t,1,100
mash central,mbire rdc,14,derere hondo,m,zanu pf,1,1247
mash central,mbire rdc,14,chigwajara chinhera,m,mdc t,1,150
mash central,mbire rdc,15,mumbamuchena morgan,m,zanu pf,1,1340
mash central,mbire rdc,15,kamwaza friday,m,mdc t,1,397
mash central,mbire rdc,16,nyamushamba luwis,m,zanu pf,1,1129
mash central,mbire rdc,16,arutura simba,m,mdc t,1,90
mash central,mbire rdc,17,zuze temba,m,zanu pf,1,861
mash central,mbire rdc,17,mazipiyoro tichaona,m,mdc t,1,289
mash central,muzarabani rdc,1,chitengu nokai,m,zanu pf,1,2027
mash central,muzarabani rdc,1,maribha petros,m,mdc t,1,75
mash central,muzarabani rdc,2,ururu oliver,m,zanu pf,1,1735
mash central,muzarabani rdc,2,svinurai michael salesio,m,mdc t,1,43
mash central,muzarabani rdc,3,gomo onesmo,m,zanu pf,1,1102
mash central,muzarabani rdc,3,garwe chengetai,f,mdc t,1,60
mash central,muzarabani rdc,4,maramba oliver,m,zanu pf,1,1475
mash central,muzarabani rdc,4,dambakurima tavengwa,m,mdc t,1,104
mash central,muzarabani rdc,5,mtunda rawson,m,zanu pf,1,1190
mash central,muzarabani rdc,5,murakasha maulen,f,mdc -t,1,95
mash central,muzarabani rdc,6,machingura martha,f,zanu pf,1,751
mash central,muzarabani rdc,6,murindagomo meckline,f,mdc t,1,35
mash central,muzarabani rdc,7,chasekwa fayinesi,m,zanu pf,1,474
mash central,muzarabani rdc,7,karenga godfrey,m,mdc -t,1,22
mash central,muzarabani rdc,8,chizeya norman,m,zanu pf,1,2103
mash central,muzarabani rdc,8,charumbuka itai,m,mdc -t,1,92
mash central,muzarabani rdc,9,chiwashira alphonce,m,zanu pf,1,936
mash central,muzarabani rdc,9,mazhina agnes,f,mdc t,1,19
mash central,muzarabani rdc,10,mudoni shyrod,m,zanu pf,1,1731
mash central,muzarabani rdc,10,musakanyi richnest,f,mdc t,1,130
mash central,muzarabani rdc,11,mahachi catherine,f,zanu pf,1,1130
mash central,muzarabani rdc,11,shiriyedeve christine,f,mdc t,1,23
mash central,muzarabani rdc,12,chirapa crebas,m,zanu pf,1,1518
mash central,muzarabani rdc,12,chiriya tonderai,m,mdc t,1,20
mash central,muzarabani rdc,13,musanzika biggie,m,zanu pf,1,1021
mash central,muzarabani rdc,13,chiyeri livison,m,mdc t,1,24
mash central,muzarabani rdc,14,mandizvidza shepherd s,m,zanu pf,1,2315
mash central,muzarabani rdc,14,rumero jimmy,m,mdc t,1,48
mash central,muzarabani rdc,15,mwale cleopatra t,f,zanu pf,1,1124
mash central,muzarabani rdc,15,nyabuna mathew,m,mdc t,1,126
mash central,muzarabani rdc,16,katsiru,m,zanu pf,0,uncontested
mash central,muzarabani rdc,17,tsotso proud,m,zanu pf,1,2201
mash central,muzarabani rdc,17,gono wirimai,m,mdc t,1,40
mash central,muzarabani rdc,18,mataba yeukai,m,zanu pf,0,uncontested
mash central,muzarabani rdc,19,mucheki passmore,m,zanu pf,1,1207
mash central,muzarabani rdc,19,ngorima agrippah,m,mdc t,1,28
mash central,muzarabani rdc,20,mapondera coster,m,zanu pf,1,884
mash central,muzarabani rdc,20,sado stephan,m,mdc t,1,49
mash central,muzarabani rdc,21,munaki milford,m,zanu pf,1,873
mash central,muzarabani rdc,21,chirangwanda ebson s,m,mdc -t,1,18
mash central,muzarabani rdc,22,mutyavaviri sarudzayi,f,zanu pf,1,701
mash central,muzarabani rdc,22,jemedze willard,m,mdc t,1,69
mash central,muzarabani rdc,23,mavedzenge amon,m,zanu pf,1,1563
mash central,muzarabani rdc,23,muzungu persecute,f,mdc -t,1,42
mash central,muzarabani rdc,24,munda regis,m,zanu pf,1,1936
mash central,muzarabani rdc,24,mashiri taison,m,mdc t,1,60
mash central,muzarabani rdc,25,chiweshe ashton,m,zanu pf,1,946
mash central,muzarabani rdc,25,gombiro taurai,f,mdc -t,1,13
mash central,muzarabani rdc,26,jekese samuel,m,zanu pf,1,1467
mash central,muzarabani rdc,26,jemedza edith,f,mdc t,1,20
mash central,muzarabani rdc,27,sosa goodfrey,m,zanu pf,1,1163
mash central,muzarabani rdc,27,nyafesa abiyosi,m,mdc t,1,57
mash central,muzarabani rdc,28,maruziva raphiel,m,zanu pf,1,1935
mash central,muzarabani rdc,28,katambarare shomi,m,mdc t,1,49
mash central,muzarabani rdc,29,magunje hilton,m,zanu pf,1,1012
mash central,muzarabani rdc,29,muzvimbi nokuthula,f,mdc -t,1,3
mash central,pfura rdc,1,chitonho nyasha,f,zanu pf,1,1114
mash central,pfura rdc,1,kandewo mwanyika,m,mdc t,1,44
mash central,pfura rdc,2,maponga hamunyari,f,zanu pf,1,4154
mash central,pfura rdc,2,dzinzi bayayi,m,mdc t,1,126
mash central,pfura rdc,3,makiseni christopher,m,mdc t,0,uncontested
mash central,pfura rdc,4,makabichi zingange,m,zanu pf,1,1709
mash central,pfura rdc,4,guvheya zonda,m,mdc t,1,85
mash central,pfura rdc,5,beny rainesi,f,zanu pf,1,1205
mash central,pfura rdc,6,kagoriyondo gadzambo,m,zanu pf,1,1474
mash central,pfura rdc,6,kunyongo watson,m,mdc t,1,11
mash central,pfura rdc,7,hondoyedzomba brighton,m,zanu pf,1,1582
mash central,pfura rdc,7,chiripa peter,m,mdc t,1,199
mash central,pfura rdc,8,chipikiri lonwel,m,zanu pf,1,2654
mash central,pfura rdc,8,charuma givers,m,mdc t,1,196
mash central,pfura rdc,9,mutyambizi mabasa,m,zanu pf,1,897
mash central,pfura rdc,9,chiramba anthony,m,mdc t,1,98
mash central,pfura rdc,10,mupona george,m,zanu pf,1,3045
mash central,pfura rdc,10,chiparapata johannes,m,mdc t,1,215
mash central,pfura rdc,11,dzonge texas,m,zanu pf,1,2284
mash central,pfura rdc,11,william william,m,mdc t,1,85
mash central,pfura rdc,12,kapingidza charles,m,zanu pf,0,uncontested
mash central,pfura rdc,13,chindito marson,m,zanu pf,1,424
mash central,pfura rdc,13,chamisa honest,m,mdc t,1,115
mash central,pfura rdc,14,muchemwa cowen,m,zanu pf,0,uncontested
mash central,pfura rdc,15,kasanga gutu,m,zanu pf,1,2971
mash central,pfura rdc,15,jokonya stanley,m,mdc t,1,97
mash central,pfura rdc,16,karima caleb,m,zanu pf,1,2106
mash central,pfura rdc,16,moses kudakwashe,m,mdc t,1,147
mash central,pfura rdc,17,chaora fatios,m,zanu pf,1,2188
mash central,pfura rdc,17,mukototsi everson,m,mdc t,1,81
mash central,pfura rdc,18,gwenanguruve clever,m,zanu pf,1,3020
mash central,pfura rdc,18,mutyambizi davie,m,mdc t,1,35
mash central,pfura rdc,19,kashoti sydney,m,zanu pf,1,3922
mash central,pfura rdc,20,kudimba funny,m,zanu pf,0,uncontested
mash central,pfura rdc,21,musekiwa edward,m,zanu pf,0,uncontested
mash central,pfura rdc,22,katanha nickson,m,zanu pf,1,4212
mash central,pfura rdc,22,gwetsuro munashe,m,mdc t,1,30
mash central,pfura rdc,23,ruwuya shingirai,m,zanu pf,1,1958
mash central,pfura rdc,23,hore oliver,m,mdc t,1,221
mash central,pfura rdc,24,chaitwa angelbert,m,zanu pf,1,3367
mash central,pfura rdc,24,pongweni farai b,m,mdc t,1,166
mash central,pfura rdc,25,jakarasi menard,m,zanu pf,1,423
mash central,pfura rdc,25,chimutsa tonderai,m,mdc,1,148
mash central,pfura rdc,26,banda james kennedy k,m,zanu pf,1,2420
mash central,pfura rdc,26,chinogurei paradzai,m,mdc,1,532
mash central,pfura rdc,27,muchemwa israel,m,zanu pf,1,1487
mash central,pfura rdc,27,zvamashakwa peter,m,mdc t,1,173
mash central,pfura rdc,28,mberi takwana d,m,zanu pf,1,397
mash central,pfura rdc,28,murombo jesman,m,mdc t,1,71
mash central,pfura rdc,29,demberere mary,f,zanu pf,1,372
mash central,pfura rdc,29,mutune maduwuro j,m,mdc t,1,156
mash central,pfura rdc,30,nyamutumbu peter,m,zanu pf,1,279
mash central,pfura rdc,30,muvhileyiwa edwin,m,mdc t,1,118
mash central,pfura rdc,31,chitsungwioliver,m,zanu pf,1,2043
mash central,pfura rdc,31,nyoni taurai,m,mdc t,1,31
mash central,pfura rdc,33,gandari shemie,m,zanu pf,0,uncontested
mash central,pfura rdc,34,mavhura fungai,f,mdc t,0,uncontested
mash central,pfura rdc,35,mufukaabiot,m,zanu pf,1,1202
mash central,pfura rdc,35,mapira munyaradzi,m,mdc t,1,67
mash central,pfura rdc,36,mukombwe rattiralph,m,zanu pf,0,uncontested
mash central,pfura rdc,37,gomo karitonge,m,zanu pf,1,1066
mash central,pfura rdc,37,pasimupindu gabriel t,m,mdc t,1,39
mash central,pfura rdc,38,mapurisa estery,f,zanu pf,1,1539
mash central,pfura rdc,38,murapura christopher,m,mdc t,1,48
mash central,pfura rdc,39,ngapasare richard z,m,zanu pf,1,1945
mash central,pfura rdc,39,chingowo tarwirei,m,mdct,1,20
mash central,pfura rdc,40,jeke donia,f,zanu pf,0,uncontested
mash central,rushinga rdc,1,kaitano peter,m,zanu pf,1,1041
mash central,rushinga rdc,1,masiyandima onias,m,mdc t,1,14
mash central,rushinga rdc,2,chitongo stephen,m,zanu pf,1,734
mash central,rushinga rdc,2,mikiri short,m,mdc t,1,27
mash central,rushinga rdc,3,chikosho tawanda,m,zanu pf,0,uncontested
mash central,rushinga rdc,4,kamugogodzo shepherd,m,zanu pf,1,1098
mash central,rushinga rdc,4,kagodora mable,f,mdc t,1,18
mash central,rushinga rdc,5,kachidza paul,m,zanu pf,0,uncontested
mash central,rushinga rdc,6,kanyama gibson,m,zanu pf,1,891
mash central,rushinga rdc,6,nyakwenda simbarashe,m,mdc t,1,8
mash central,rushinga rdc,7,mutonho luckson,m,zanu pf,0,uncontested
mash central,rushinga rdc,8,chiwarange spencer,m,zanu pf,1,1518
mash central,rushinga rdc,8,chatadza horhward,m,mdc t,1,62
mash central,rushinga rdc,9,muropa carnal,m,zanu pf,1,1095
mash central,rushinga rdc,9,guvheya bobie,m,mdc t,1,57
mash central,rushinga rdc,10,marikisi norman,m,zanu pf,1,1772
mash central,rushinga rdc,10,kamushonga freddy,m,mdc t,1,95
mash central,rushinga rdc,11,gwashure obert,m,zanu pf,1,1098
mash central,rushinga rdc,11,mugaradziko pamela,f,mdc t,1,39
mash central,rushinga rdc,12,magaradziko ekron,m,zanu pf,1,1801
mash central,rushinga rdc,12,munyawiri robert,m,mdc t,1,89
mash central,rushinga rdc,13,mupindu fidelis,m,zanu pf,1,1396
mash central,rushinga rdc,13,ndaradzi agnes,f,mdc t,1,86
mash central,rushinga rdc,14,chibundu shaky,m,zanu pf,1,989
mash central,rushinga rdc,14,machaka tapiwa,m,mdc t,1,61
mash central,rushinga rdc,15,manyika bright,m,zanu pf,1,1233
mash central,rushinga rdc,15,kwaramba venia,f,mdc t,1,78
mash central,rushinga rdc,16,parangeta bestmore,m,zanu pf,1,1547
mash central,rushinga rdc,16,nyamunga oliver,m,mdc t,1,28
mash central,rushinga rdc,17,makanga beauty,f,zanu pf,1,910
mash central,rushinga rdc,17,kuuya lawrence,m,mdc t,1,47
mash central,rushinga rdc,18,mahachio kudzanai,m,zanu pf,1,1645
mash central,rushinga rdc,18,zembezi welscent,m,mdc t,1,24
mash central,rushinga rdc,19,chitahwa paul,m,zanu pf,0,uncontested
mash central,rushinga rdc,20,mafunga maja,m,zanu pf,0,uncontested
mash central,rushinga rdc,21,mamvura morris,m,zanu pf,1,1002
mash central,rushinga rdc,21,gemu leonard,m,mdc,1,18
mash central,rushinga rdc,22,nyambani musasare,m,zanu pf,0,uncontested
mash central,rushinga rdc,23,gomo tendai,m,zanu pf,0,uncontested
mash central,rushinga rdc,24,mukoko farai,m,zanu pf,1,922
mash central,rushinga rdc,24,chiringa rojasi,m,mdc t,1,181
mash central,rushinga rdc,25,tsiga gift,m,zanu pf,1,1031
mash central,rushinga rdc,25,majoni romeo,m,mdc-t,1,59
mash east,chikomba rdc,1,kadenge chrispen ,m,zanu(pf),1,1149
mash east,chikomba rdc,1,munandi moses ,m,mdc-t,1,99
mash east,chikomba rdc,2,mareya jona ,m,zanu(pf),1,435
mash east,chikomba rdc,2,katsidzira munesu ,m,mdc-t,1,316
mash east,chikomba rdc,3,gudo rashirai ,m,zanu(pf),1,232
mash east,chikomba rdc,3,nyagumbo maxwell ,m,mdc-t,1,223
mash east,chikomba rdc,3,charumbira steven ,m,mdc,1,33
mash east,chikomba rdc,4,mapiravana pater takawira ,m,zanu(pf),1,479
