province,local_authority,ward_no,candidate,sex,party,contested,votes
bulawayo,bulawayo municipality,14,ndlovu zilazila phinias,m,independent,1,200
bulawayo,bulawayo municipality,15,moyo tamani,m,mdc-t,1,1793
bulawayo,bulawayo municipality,15,ncube robert msindo,m,mdc,1,686
bulawayo,bulawayo municipality,15,moyo mabutho lucky,m,zanu pf,1,651
bulawayo,bulawayo municipality,15,ndlovu job,m,zapu,1,95
bulawayo,bulawayo municipality,15,kazenga ignatious,m,zanu ndonga,1,35
bulawayo,bulawayo municipality,16,sibanda nephat,m,mdc-t,1,2078
bulawayo,bulawayo municipality,16,ndlovu stella,f,mdc,1,773
bulawayo,bulawayo municipality,16,mlilo ntandoyenkosi,m,zanu pf,1,649
bulawayo,bulawayo municipality,16,mabhena peter,m,zapu,1,128
bulawayo,bulawayo municipality,16,mathe dennis christopher,m,independent,1,113
bulawayo,bulawayo municipality,17,ncube ephraim,m,mdc-t,1,1660
bulawayo,bulawayo municipality,17,pasipanodya ottlia,f,zanu pf,1,787
bulawayo,bulawayo municipality,17,moyo nqobizitha,m,mdc,1,477
bulawayo,bulawayo municipality,17,kawonga peaceful,m,a.k.e,1,210
bulawayo,bulawayo municipality,17,ndlovu patrick,m,zapu,1,153
bulawayo,bulawayo municipality,18,dube oscar,m,mdc,1,880
bulawayo,bulawayo municipality,18,mlalazi concilia,f,mdc - t,1,2535
bulawayo,bulawayo municipality,18,sikhosana gibson,m,zapu,1,140
bulawayo,bulawayo municipality,18,pasipamire joseph,m,zanu ndonga,1,18
bulawayo,bulawayo municipality,18,nkomo sibelo,m,ctd,1,13
bulawayo,bulawayo municipality,18,mpofu sindisani,m,zanu pf,1,808
bulawayo,bulawayo municipality,19,zana clyton,m,mdc-t,1,2153
bulawayo,bulawayo municipality,19,moyo theresa,f,zanu pf,1,879
bulawayo,bulawayo municipality,19,ncube kenneth,m,mdc,1,547
bulawayo,bulawayo municipality,19,mahlangualexio,m,zapu,1,200
bulawayo,bulawayo municipality,20,rafamoyo ernest,m,mdc-t,1,2218
bulawayo,bulawayo municipality,20,sibanda dennis,m,zanu pf,1,945
bulawayo,bulawayo municipality,20,senda sheilla,f,mdc,1,549
bulawayo,bulawayo municipality,20,dube naison,m,zapu,1,142
bulawayo,bulawayo municipality,21,matengu reuben,m,mdc-t,1,4404
bulawayo,bulawayo municipality,21,ncube dinah,f,zanu pf,1,1121
bulawayo,bulawayo municipality,21,mthombeni dalazana jethro,m,mdc,1,502
bulawayo,bulawayo municipality,21,ndiweni liba,f,zapu,1,164
bulawayo,bulawayo municipality,22,jeze rodneyd,m,mdc-t,1,2597
bulawayo,bulawayo municipality,22,mpofu yona,f,zanu pf,1,801
bulawayo,bulawayo municipality,22,ndlovu spiwe,f,mdc,1,429
bulawayo,bulawayo municipality,22,mlilo enitha,f,zapu,1,158
bulawayo,bulawayo municipality,23,ncube thobani,m,mdc-t,1,2055
bulawayo,bulawayo municipality,23,ngwenya sikhululekile,f,zanu pf,1,736
bulawayo,bulawayo municipality,23,nyathi ngwalo,m,mdc,1,450
bulawayo,bulawayo municipality,23,mhlophe bekezela,f,zapu,1,216
bulawayo,bulawayo municipality,23,mhothi david,m,independent,1,46
bulawayo,bulawayo municipality,24,mangena gideon,m,mdc-t,1,2981
bulawayo,bulawayo municipality,24,mdlongwa keiza,m,zanu pf,1,1301
bulawayo,bulawayo municipality,24,moyo wingle,m,mdc,1,498
