Province,DISTRICT,LOCAL AUTHORITY,CONSTITUENCY,WARD NO.,POLLING STATIONS,FACILITY,"DabengwaDumiso (ZAPU)","Mugabe Robert Gabriel(ZANU PF)","MukwazheMunnodeiKissnote (ZDP)","Ncube Welshman(MDC)","Tsvangirayi Morgan(MDC-T)","Total VotesRejected","Ballot PapersUnaccounted for",Total Votes Cast,"Total Valid VotesCast"
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,15,Kildonan Siding,Primary,0,234,0,1,58,3,0,296,293
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,15,Lone Cow  Primary,School,0,103,0,3,21,1,0,128,127
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,15,Maplanka Primary,School,0,194,0,1,23,1,0,219,218
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,15,Muriel Mine Community,Hall,2,428,1,8,268,7,0,714,707
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,15,Muzare Co-operative Mine,Office,1,53,0,0,42,0,0,96,96
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,15,Rugare Mining Coop,Shed,0,97,0,3,36,3,0,139,136
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,15,Vanad Mine Primary,School,0,233,0,5,72,3,0,313,310
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,15,Windsor Primary,School,10,612,1,3,17,13,0,656,643
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,16,Raffingora Community,Hall,2,360,0,5,91,3,0,461,458
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,16,Raffingora Secondary,School,1,204,1,2,103,1,0,312,311
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,17,Ayshire Primary,School,0,83,0,0,18,3,0,104,101
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,17,Bickleighvale Primary,School,0,247,2,1,20,2,0,272,270
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,17,Hunyani Primary,School,5,663,1,18,63,31,0,781,750
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,17,Mariondale  Settlement,Shed,3,165,1,1,11,4,0,185,181
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,17,Newlands Primary,School,3,340,0,5,25,10,0,383,373
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,17,Pindi Park Primary,School,0,205,1,2,22,4,0,234,230
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,17,St. Lucia  Settlement,Shed,1,396,1,4,20,9,,431,422
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
