SER,PROVINCE,CONSTITUENCY,WINNING CANDIDATE,SEX,PARTY
209,Midlands,Zvishavane Ngezi,Mawite Dumezweni,M,ZANU PF
PROVINCE,SER,,NAME SEX,PARTY
Bulawayo,,1,Khumalo Thabitha F,MDC Alliance
"",,2,Sibanda Dorcas Staff F,MDC Alliance
"",,3,Toffa Jasmine F,MDC Alliance
"",,4,Mushonga Priscilla Misihairambwi F,MDC-T
"",,5,Mkwanda Judith F,ZANU PF
"",,6,Ncube Ophar F,ZANU PF
Harare,,1,Mpariwa Paurina F,MDC - Alliance
"",,2,Myambo Annah F,MDC - Alliance
"",,3,Zengeya Virginia F,MDC - Alliance
"",,4,Jaja Joyce F,MDC - Alliance
"",,5,Madziwa Susan F,ZANU - PF
"",,6,Chikukwa Miriam Rutendo F,ZANU - PF
Manicaland,,1,Karenyi Lynette F,MDC Alliance
"",,2,Makonya Joyce F,MDC Alliance
"",,3,Chihururu Constance F,MDC Alliance
"",,4,Muchinguri Oppah Chamu ZvipangeF KashZirAiNU PF,
"",,5,Chikuni Esther F,ZANU PF
"",,6,Chitura Lucia F,ZANU PF
Mashonaland Central,,1,Majaya Bacillia F,MDC Alliance
"",,2,Shongedza Elizabeth F,ZANU PF
"",,3,Chibagu Getrude F,ZANU PF
"",,4,Mashonganyika Dorothy F,ZANU PF
"",,5,Nhambo Ferescah F,ZANU PF
"",,6,Gezi Tsitsi F,ZANU PF
Mashonaland East,,1,Mangora Brightness F,MDC Alliance
"",,2,Mchenje Sipiwe Muchaneta F,MDC Alliance
"",,3,Zimura Lilian F,ZANU PF
"",,4,Makoni Reselyn Roseweater F,ZANU PF
"",,5,Tsuura Nyarai F,ZANU PF
"",,6,Maveta Tatenda Annastacia F,ZANU PF
Mashonaland West,,1,Chinanzvavana Consilia F,MDC Alliance
"",,2,Mafuta Senzeni V. F,MDC Alliance
"",,3,Mhlanga Jennifer N. F,ZANU PF
"",,4,Kwaramba Goodluck F,ZANU PF
"",,5,Shava Josephine F,ZANU PF
"",,6,Nyere Christina F,ZANU PF
Masvingo,,1,Mugidho Machirairwa F,MDC-ALLIANCE
"",,2,Mago Nyaradza F,MDC-ALLIANCE
"",,3,Rungani Annah F,ZANU PF
"",,4,Chipato Angelline F,ZANU PF
"",,5,Samson Aliginia  F,ZANU PF
"",,6,Ncube Emma F,ZANU PF
Matabeleland North,,1,Bhuda Sibusisiwe F,MDC Alliance
"",,2,Labode Mafoko Ruth F,MDC Alliance
"",,3,Ncube Francisca F,MDC Alliance
"",,4,Nkomo Male F,ZANU PF
"",,5,Masuku Elizabeth F,ZANU PF
"",,6,Mnkandla Moli F,ZANU PF
Matabeleland South,,1,Ndlovu Nomathemba F,MDC- Alliance
"",,2,Maphosa Lindiwe F,MDC-Alliance
"",,3,Mpofu Rossy F,ZANU PF
"",,4,Ndlovu Alice F,ZANU PF
"",,5,Ndlovu Evelyn F,ZANU PF
"",,6,Singo Lisa F,ZANU PF
Midlands,,1,Gozho Cathrine F,MDC Alliance
"",,2,Mbondiya Memory F,MDC Alliance
"",,3,Mutambisi Colleta F,ZANU PF
"",,4,Shirichena Ellina F,ZANU PF
"",,5,Zhou Perseverence F,ZANU PF
"",,6,Nhari Vairet F,ZANU PF
PROVINCE,SER,,NAME SEX,,PARTY
Bulawayo,,1,Ncube Siphiwe F,,MDC Alliance
"",,2,Shoko Gideon M,,MDC Alliance
"",,3,Zivira Helen F,,MDC Alliance
