"",,,Votes
Name of Candidate,Sex,Party,Received
"",,,
Chinyadza Webber,M,MDC-T,2 507
"",,,
"",,"# 1980 Freedom Movement",
Danha Francis,M,Zimbabwe,292
"",,,
"",,,
Govha Godfrey,,,
Makwasha,M,MDC-Alliance,4 530
"",,,
"",,,
Kunze Pahwaringira,F,CODE,43
Veniah,,,
"",,,
"",,,
Kwanayi Josphine,F,NCA,58
"",,,
"",,,
Mukucha Kenneth,M,APC,70
"",,,
"",,,
Muswere Jenfan,M,ZANU PF,7 772
"",,,
"",,,
Muteweye Silvester,M,RPZ,51
Ndlovu Nhlanhla,M,ZIPP,81
"",,,
"",,,
Sambo Macdonald,M,PRC,54
Name of Candidate,Sex,Party,Votes Received
"",,,
MURIRE JOSHUA,M,ZANU PF,6 559
"",,,
"",,,
SIMANGO SIMON,M,PRC,1 029
"",,,
"",,,
SITHOLE SIFISO,M,MDC-ALLIANCE,6 162
"",,,
"",,,
MUCHAURAYA,M,INDEPENDENT,1 855
PISHAI,,,
"",,,
SITHOLE PAMBUKA,M,NCA,155
CANFRED,,,
Name of Candidate,Sex,Party  Votes Received,
Chitaka Patrick,M,Independent,192
Gonese Innocent Tinashe,M,MDC Alliance,11950
Mauya Emmanuel,M,NCA,106
Mundembe George,M,Independent,251
Mushunje Appross,M,ZIPP,62
Mutasa Musiyiwa,F,ZDU,20
Porunobva Vengai Allan,M,Coalition of Demo,11
Rumhungwe Marvin,M,MDC T,210
Simpindi Brian Tendai,M,PRC,50
Saungweme Nancy,F,ZANU PF,5684
Zimbudzi Nathan,M,Free Zim Congress,33
Name of Candidate,Sex,Party,Votes Received
Madiro Michael,M,Zanu PF,6511
Masiyakurima Agrippa,M,NPF,3229
Bopela,,,
Matai Maud Ngonidzashe,F,ZIPP,154
Matara Pedigree,F,PRC,137
Munyamana Godfrey,M,MDC Alliance,3962
"",,,Votes
Name of Candidate,Sex,Party,Received
"",,,
Gwazaza Oliver,M,INDEPENDENT,748
"",,,
"",,,
Jambaya Takunda,M,NCA,470
"",,,
"",,,
Machikiti Langton,M,PRC,237
"",,,
"",,,
Mangoyana Haward,M,NPF,449
"",,,
"",,,
Mapudzi Givemore,M,ZIPP,181
"",,,
"",,,
Mlambo Nelson,M,ZDU,105
"",,,
"",,,
Mukundidza Blessing,M,APA,138
"",,,
"",,,
"",,,
"",,ZANU PF,
Ngome Jefry,M,,16 495
Puwai Gashirai,M,ZIPP,182
Saunyama Robert,M,MDC-ALLIANCE,10 050
"TaruvingaMoreblessing",F,"# 1980 CHINHU CHEDU",71
Name of Candidate,Sex,Party,Votes Received
"",,,
Marange Israel Smart,M,ZIPP,853
"",,,
"",,,
